,Longest running cases,ymd,Duration
0,A/14/2019,2.0 years 10.0 months 21.0 days,1051
1,A/10/2019,2.0 years 7.0 months 5.0 days,945
2,A/12/2019,2.0 years 7.0 months 5.0 days,945
3,A/11/2019,2.0 years 7.0 months 5.0 days,945
4,A/9/2019,2.0 years 7.0 months 5.0 days,945
5,A/77/2019,2.0 years 5.0 months 27.0 days,907
6,A/194/2019,2.0 years 5.0 months 17.0 days,897
7,A/195/2019,2.0 years 5.0 months 17.0 days,897
8,A/93/2019,2.0 years 5.0 months 3.0 days,883
9,A/72/2019,2.0 years 4.0 months 21.0 days,871
